source,Pb206,Pb208
cryoconite,1.194,2.461
cryoconite,1.194,2.468
cryoconite,1.187,2.47
cryoconite,1.181,2.455
cryoconite,1.178,2.449
cryoconite,1.181,2.453
cryoconite,1.185,2.448
cryoconite,1.183,2.458
cryoconite,1.182,2.455
cryoconite,1.181,2.454
cryoconite,1.196,2.457
cryoconite,1.2,2.464
cryoconite,1.191,2.452
cryoconite,1.179,2.452
natural,1.221,2.476
natural,1.221,2.476
natural,1.221,2.478
natural,1.221,2.479
natural,1.217,2.489
natural,1.226,2.496
atmosphere,1.164,2.436
atmosphere,1.158,2.433
atmosphere,1.163,2.441
atmosphere,1.161,2.432
atmosphere,1.162,2.437
atmosphere,1.169,2.437
atmosphere,1.162,2.435
atmosphere,1.162,2.437
atmosphere,1.168,2.443
